"state","city","datePosted","security_jobsPosted"
"AR","north+little+rock",2020-07-15,5
"AR","north+little+rock",2020-07-16,4
"AR","north+little+rock",2020-07-17,5
"AR","north+little+rock",2020-07-18,6
"AR","north+little+rock",2020-07-20,1
"AR","north+little+rock",2020-07-21,2
"AR","north+little+rock",2020-07-22,10
"AR","north+little+rock",2020-07-23,6
"AR","north+little+rock",2020-07-24,2
"AR","north+little+rock",2020-07-25,6
"AR","north+little+rock",2020-07-27,1
"AR","north+little+rock",2020-07-28,3
"AR","north+little+rock",2020-07-29,3
"AR","north+little+rock",2020-07-31,3
"AR","north+little+rock",2020-08-01,4
"AR","north+little+rock",2020-08-03,3
"AR","north+little+rock",2020-08-05,2
"AR","north+little+rock",2020-08-06,4
"AR","north+little+rock",2020-08-07,2
"AR","north+little+rock",2020-08-08,6
"AR","north+little+rock",2020-08-09,1
"AR","north+little+rock",2020-08-11,2
"AR","north+little+rock",2020-08-12,3
"AR","north+little+rock",2020-08-13,1
"AR","north+little+rock",2020-08-14,1
"AR","north+little+rock",2020-08-15,1
"AR","north+little+rock",2020-08-17,1
"AR","pine+bluff",2020-06-27,1
"AR","pine+bluff",2020-07-13,1
"AR","pine+bluff",2020-07-14,1
"AR","pine+bluff",2020-07-22,1
"AR","pine+bluff",2020-07-23,1
"AR","pine+bluff",2020-08-01,5
"AR","pine+bluff",2020-08-05,1
"AR","pine+bluff",2020-08-06,1
"AR","pine+bluff",2020-08-11,1
"AR","pine+bluff",2020-08-13,1
"AR","rogers",2020-06-24,1
"AR","rogers",2020-07-01,2
"AR","rogers",2020-07-03,2
"AR","rogers",2020-07-07,3
"AR","rogers",2020-07-09,1
"AR","rogers",2020-07-10,2
"AR","rogers",2020-07-11,1
"AR","rogers",2020-07-12,1
"AR","rogers",2020-07-13,1
"AR","rogers",2020-07-15,1
"AR","rogers",2020-07-18,4
"AR","rogers",2020-07-19,1
"AR","rogers",2020-07-21,5
"AR","rogers",2020-07-22,5
"AR","rogers",2020-07-23,3
"AR","rogers",2020-07-24,7
"AR","rogers",2020-07-25,3
"AR","rogers",2020-07-26,1
"AR","rogers",2020-07-28,4
"AR","rogers",2020-07-29,5
"AR","rogers",2020-07-30,3
"AR","rogers",2020-07-31,6
"AR","rogers",2020-08-01,4
"AR","rogers",2020-08-03,6
"AR","rogers",2020-08-06,2
"AR","rogers",2020-08-07,2
"AR","rogers",2020-08-11,2
"AR","rogers",2020-08-12,2
"AR","rogers",2020-08-13,3
"AR","rogers",2020-08-15,4
"AR","rogers",2020-08-16,1
"AR","springdale",2020-06-24,1
"AR","springdale",2020-07-01,2
"AR","springdale",2020-07-03,3
"AR","springdale",2020-07-04,1
"AR","springdale",2020-07-07,1
"AR","springdale",2020-07-09,1
"AR","springdale",2020-07-10,1
"AR","springdale",2020-07-11,1
"AR","springdale",2020-07-12,1
"AR","springdale",2020-07-13,1
"AR","springdale",2020-07-15,2
"AR","springdale",2020-07-16,1
"AR","springdale",2020-07-18,4
"AR","springdale",2020-07-19,1
"AR","springdale",2020-07-21,5
"AR","springdale",2020-07-22,4
"AR","springdale",2020-07-23,2
