"state","city","datePosted","warehouse_jobsPosted"
"AL","huntsville",2020-07-15,5
"AL","huntsville",2020-07-16,3
"AL","huntsville",2020-07-17,7
"AL","huntsville",2020-07-18,2
"AL","huntsville",2020-07-20,12
"AL","huntsville",2020-07-21,4
"AL","huntsville",2020-07-22,7
"AL","huntsville",2020-07-23,7
"AL","huntsville",2020-07-24,10
"AL","huntsville",2020-07-26,2
"AL","huntsville",2020-07-27,7
"AL","huntsville",2020-07-28,4
"AL","huntsville",2020-07-29,9
"AL","huntsville",2020-07-30,6
"AL","huntsville",2020-07-31,3
"AL","huntsville",2020-08-01,3
"AL","huntsville",2020-08-02,1
"AL","huntsville",2020-08-03,1
"AL","huntsville",2020-08-04,1
"AL","huntsville",2020-08-05,5
"AL","huntsville",2020-08-06,4
"AL","huntsville",2020-08-07,6
"AL","huntsville",2020-08-08,4
"AL","huntsville",2020-08-11,5
"AL","huntsville",2020-08-12,3
"AL","huntsville",2020-08-13,1
"AL","huntsville",2020-08-14,3
"AL","huntsville",2020-08-15,3
"AL","huntsville",2020-08-17,1
"AL","madison",2020-06-24,1
"AL","madison",2020-06-29,4
"AL","madison",2020-06-30,1
"AL","madison",2020-07-01,4
"AL","madison",2020-07-02,2
"AL","madison",2020-07-03,1
"AL","madison",2020-07-04,3
"AL","madison",2020-07-06,1
"AL","madison",2020-07-07,3
"AL","madison",2020-07-08,1
"AL","madison",2020-07-09,4
"AL","madison",2020-07-10,11
"AL","madison",2020-07-11,9
"AL","madison",2020-07-12,3
"AL","madison",2020-07-13,2
"AL","madison",2020-07-14,3
"AL","madison",2020-07-15,7
"AL","madison",2020-07-16,5
"AL","madison",2020-07-17,5
"AL","madison",2020-07-18,4
"AL","madison",2020-07-20,8
"AL","madison",2020-07-21,4
"AL","madison",2020-07-22,4
"AL","madison",2020-07-23,6
"AL","madison",2020-07-24,9
"AL","madison",2020-07-25,2
"AL","madison",2020-07-26,1
"AL","madison",2020-07-27,9
"AL","madison",2020-07-28,3
"AL","madison",2020-07-29,13
"AL","madison",2020-07-30,8
"AL","madison",2020-07-31,7
"AL","madison",2020-08-01,6
"AL","madison",2020-08-02,2
"AL","madison",2020-08-03,1
"AL","madison",2020-08-04,1
"AL","madison",2020-08-05,6
"AL","madison",2020-08-06,4
"AL","madison",2020-08-07,5
"AL","madison",2020-08-08,3
"AL","madison",2020-08-10,1
"AL","madison",2020-08-11,5
"AL","madison",2020-08-12,2
"AL","madison",2020-08-13,1
"AL","madison",2020-08-14,2
"AL","madison",2020-08-15,3
"AL","madison",2020-08-17,2
"AL","mobile",2020-06-24,2
"AL","mobile",2020-06-25,1
"AL","mobile",2020-06-26,3
"AL","mobile",2020-06-27,2
"AL","mobile",2020-07-01,4
"AL","mobile",2020-07-02,5
"AL","mobile",2020-07-03,2
"AL","mobile",2020-07-04,1
"AL","mobile",2020-07-07,1
"AL","mobile",2020-07-08,4
"AL","mobile",2020-07-09,1
"AL","mobile",2020-07-10,2
"AL","mobile",2020-07-11,4
"AL","mobile",2020-07-13,3
"AL","mobile",2020-07-14,6
"AL","mobile",2020-07-15,6
"AL","mobile",2020-07-16,5
"AL","mobile",2020-07-17,9
"AL","mobile",2020-07-18,2
"AL","mobile",2020-07-20,1
"AL","mobile",2020-07-21,11
"AL","mobile",2020-07-22,13
"AL","mobile",2020-07-23,11
"AL","mobile",2020-07-24,7
"AL","mobile",2020-07-25,4
"AL","mobile",2020-07-26,1
"AL","mobile",2020-07-27,10
"AL","mobile",2020-07-28,7
"AL","mobile",2020-07-29,6
"AL","mobile",2020-07-30,11
"AL","mobile",2020-07-31,4
"AL","mobile",2020-08-01,2
"AL","mobile",2020-08-03,2
"AL","mobile",2020-08-04,1
"AL","mobile",2020-08-05,3
"AL","mobile",2020-08-06,5
"AL","mobile",2020-08-07,4
"AL","mobile",2020-08-08,4
"AL","mobile",2020-08-11,2
"AL","mobile",2020-08-12,1
"AL","mobile",2020-08-13,3
"AL","mobile",2020-08-14,4
"AL","mobile",2020-08-15,1
"AL","mobile",2020-08-16,3
