"state","city","datePosted","personalAssistant_jobsPosted"
"AZ","surprise",2020-07-01,2
"AZ","surprise",2020-07-02,1
"AZ","surprise",2020-07-03,1
"AZ","surprise",2020-07-04,1
"AZ","surprise",2020-07-06,1
"AZ","surprise",2020-07-09,3
"AZ","surprise",2020-07-10,3
"AZ","surprise",2020-07-11,1
"AZ","surprise",2020-07-13,3
"AZ","surprise",2020-07-14,1
"AZ","surprise",2020-07-15,1
"AZ","surprise",2020-07-16,4
"AZ","surprise",2020-07-17,3
"AZ","surprise",2020-07-18,3
"AZ","surprise",2020-07-19,1
"AZ","surprise",2020-07-21,4
"AZ","surprise",2020-07-22,3
"AZ","surprise",2020-07-23,3
"AZ","surprise",2020-07-26,1
"AZ","surprise",2020-07-27,4
"AZ","surprise",2020-07-28,5
"AZ","surprise",2020-07-29,2
"AZ","surprise",2020-07-30,5
"AZ","surprise",2020-07-31,6
"AZ","surprise",2020-08-01,3
"AZ","surprise",2020-08-05,2
"AZ","surprise",2020-08-06,2
"AZ","surprise",2020-08-07,3
"AZ","surprise",2020-08-08,2
"AZ","surprise",2020-08-10,1
"AZ","surprise",2020-08-12,1
"AZ","surprise",2020-08-13,2
"AZ","surprise",2020-08-14,3
"AZ","surprise",2020-08-15,1
"AZ","surprise",2020-08-16,3
"AZ","surprise",2020-08-17,1
"AZ","tempe",2020-06-23,3
"AZ","tempe",2020-06-25,1
"AZ","tempe",2020-06-26,3
"AZ","tempe",2020-06-27,3
"AZ","tempe",2020-06-30,1
"AZ","tempe",2020-07-01,3
"AZ","tempe",2020-07-02,2
"AZ","tempe",2020-07-03,1
"AZ","tempe",2020-07-04,1
"AZ","tempe",2020-07-06,2
"AZ","tempe",2020-07-07,3
"AZ","tempe",2020-07-08,5
"AZ","tempe",2020-07-09,5
"AZ","tempe",2020-07-10,4
"AZ","tempe",2020-07-11,2
"AZ","tempe",2020-07-13,3
"AZ","tempe",2020-07-14,3
"AZ","tempe",2020-07-15,1
"AZ","tempe",2020-07-16,3
"AZ","tempe",2020-07-17,4
"AZ","tempe",2020-07-18,2
"AZ","tempe",2020-07-19,1
"AZ","tempe",2020-07-20,1
"AZ","tempe",2020-07-21,5
"AZ","tempe",2020-07-22,4
"AZ","tempe",2020-07-23,3
"AZ","tempe",2020-07-24,3
"AZ","tempe",2020-07-25,1
"AZ","tempe",2020-07-26,1
"AZ","tempe",2020-07-27,5
"AZ","tempe",2020-07-28,6
"AZ","tempe",2020-07-29,3
"AZ","tempe",2020-07-30,3
"AZ","tempe",2020-07-31,6
"AZ","tempe",2020-08-01,3
"AZ","tempe",2020-08-03,1
"AZ","tempe",2020-08-04,2
"AZ","tempe",2020-08-05,2
"AZ","tempe",2020-08-06,4
"AZ","tempe",2020-08-07,6
"AZ","tempe",2020-08-08,2
"AZ","tempe",2020-08-10,2
"AZ","tempe",2020-08-11,2
"AZ","tempe",2020-08-12,1
"AZ","tempe",2020-08-13,3
"AZ","tempe",2020-08-14,4
"AZ","tempe",2020-08-15,2
"AZ","tempe",2020-08-16,3
"AZ","tempe",2020-08-17,3
"AZ","tucson",2020-07-06,2
"AZ","tucson",2020-07-07,1
"AZ","tucson",2020-07-11,1
"AZ","tucson",2020-07-13,1
"AZ","tucson",2020-07-15,2
"AZ","tucson",2020-07-17,6
"AZ","tucson",2020-07-20,3
"AZ","tucson",2020-07-21,6
